check_id	claim	source_table	source_row_or_key	recorded_value	source_value	verification	note
Q0001	Abstract four-cohort PTPN22 synthesis	derived_data/publication_source_tables/S05_01.tsv	"{""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=pooled_hedges_g"	0.8068	0.806833461329112	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
Q0002	Abstract four-cohort PTPN22 synthesis	derived_data/publication_source_tables/S05_01.tsv	"{""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=ci_low"	0.0029	0.00288177477229223	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
Q0003	Abstract four-cohort PTPN22 synthesis	derived_data/publication_source_tables/S05_01.tsv	"{""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=ci_high"	1.6108	1.61078514788593	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
Q0004	Abstract four-cohort PTPN22 synthesis	derived_data/publication_source_tables/S05_01.tsv	"{""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=prediction_interval_low"	-0.2801	-0.280105511689008	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
Q0005	Abstract four-cohort PTPN22 synthesis	derived_data/publication_source_tables/S05_01.tsv	"{""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=prediction_interval_high"	1.8938	1.89377243434723	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
Q0006	Results genetic context	derived_data/publication_source_tables/S05_03.tsv	"{""program"": ""AF35""}; TSV line 2; field=D_TT_minus_CC"	-0.355	-0.355198926774367	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
Q0007	Results genetic context	derived_data/publication_source_tables/S05_03.tsv	"{""program"": ""AF35""}; TSV line 2; field=bootstrap_D_CI95_low"	-1.230	-1.22952400851406	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
Q0008	Results genetic context	derived_data/publication_source_tables/S05_03.tsv	"{""program"": ""AF35""}; TSV line 2; field=bootstrap_D_CI95_high"	0.618	0.618145408636387	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
Q0009	Results genetic context	derived_data/publication_source_tables/S05_03.tsv	"{""program"": ""AF35""}; TSV line 2; field=Hedges_g"	-0.331	-0.331297462813829	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
Q0010	Results genetic context	derived_data/publication_source_tables/S05_03.tsv	"{""program"": ""AF35""}; TSV line 2; field=bootstrap_g_CI95_low"	-1.935	-1.93463195702989	PASS_LIVE_SOURCE_AND_PUBLIC_DERIVATIVE	Earlier audit label may reference an earlier manuscript location; current Abstract/Results coverage is recorded separately
